probe,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
39014,1.545902113,1.640739995,1.535042936,1.377005488,1.428722082,1.415446637,1.799679488,1.536371944,1.561259541,1.436740835,1.619320496,1.571367215,2.115918114,2.469391114,2.290055222,1.905737822,1.947735685,2.267069823,1.82227701,1.909856496,1.934980711,1.668783913,1.891347744,2.084158157
39070,2.694070195,2.713642015,2.409084604,2.519629041,2.877086843,2.526461777,3.567543894,3.280775954,3.446899041,3.542359532,3.315139229,3.463950819,3.700216355,4.189046946,3.784359523,4.170242746,4.089495477,4.008379093,3.29425329,3.141433806,3.113920648,3.162317956,3.346135499,3.155945552
39078,3.548820421,3.391289321,3.184030835,3.638357109,3.283004786,3.410350998,2.760172702,2.523108533,2.505123627,2.600274947,2.561936181,2.537040522,3.123925709,3.218546018,2.979550426,3.151648159,3.053115551,2.890344895,2.28451303,2.416056634,2.512739865,2.414353241,2.398392778,2.296950091
39080,8.954727713,9.134020466,9.208960568,9.219003424,8.83224151,9.321177306,9.457959719,9.505290698,9.270881492,9.589041279,9.179667209,9.257366547,5.684738463,5.87323752,5.476706134,5.497252377,5.5080053,5.483098853,4.124361069,4.126217983,4.133061207,4.110813748,4.356225754,4.329559566
39164,4.807753811,4.719366651,4.597445036,4.873681863,4.800353705,4.802024578,5.762491514,5.633385209,5.542293167,5.824976839,5.501204988,5.658159387,3.601157146,3.800644337,3.536843883,3.684817697,3.791222178,3.595466495,3.593438792,3.490459023,3.593906904,3.564882373,3.490216873,3.45981011
39174,3.238472773,3.143829088,2.907453742,2.893748205,3.040487751,2.982308865,2.992499156,2.95901024,2.905821794,3.086000512,2.895821729,2.96839566,2.66135799,2.858270704,2.870197536,2.692033087,2.818732629,2.573860678,2.216492137,2.337811769,2.12918017,2.308083432,2.191512555,2.147838683
39185,2.959278275,2.967911938,3.065873677,3.283306885,2.976827746,3.09681726,4.264558893,4.12708989,4.114417061,4.236141641,4.276832446,4.284695308,4.372768721,4.390165976,4.344273557,4.537956555,4.658989441,4.663247168,4.705542589,4.609776176,4.634035068,4.815666529,4.782994615,4.843889782
39217,3.066123202,2.933494637,2.817106604,2.98067014,3.205468109,2.959408455,4.067519922,3.934212154,3.97329622,4.101255759,3.903430663,3.963097903,4.989056904,5.260022413,5.018477708,5.437806273,5.152624109,5.051017815,4.523685268,4.554587621,4.547352103,4.400639202,4.66281483,4.287763912
39231,1.982067234,2.045438989,2.174080098,1.936582613,1.896554772,1.926757246,1.822216615,1.925837566,1.972360565,1.959079594,1.861602969,1.728668627,2.563625243,2.710794492,2.647666879,2.717819647,2.568006451,2.670847799,2.027397334,2.222307827,1.974965819,2.142369691,2.201009912,2.139527113
39244,4.023739222,3.873362892,3.63051568,3.84739111,3.908243847,3.878191902,4.945266702,4.677890649,4.529226381,4.768672818,4.717550132,4.741024083,2.364300013,2.458445245,2.297167775,2.525904898,2.365316247,2.356676687,1.795600257,1.992793503,1.77870071,2.006801975,1.980532486,1.907225681
