probe,0,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
44068,ILMN_3116560,5.735546518,5.79905104,5.646388606,6.038608454,5.948075203,5.778002706,5.874192119,5.946993244,5.705675517,6.205416684,5.950147747,5.695654731,3.987341174,4.259897587,3.802895949,4.155249731,4.190208931,4.020794282,4.066718644,4.010003277,3.990504395,3.981777377,3.959090729,3.778085502
44070,ILMN_3116614,3.684716189,3.667983692,3.630602081,3.567731113,3.863074323,3.640061105,4.048453588,4.073243695,4.024247846,3.880370608,3.930452207,4.023755838,3.197964113,3.062627585,3.012568,3.214363981,3.092569903,3.004771067,3.26593169,3.255445296,3.16950778,3.160027591,3.266792317,3.121805741
44075,ILMN_3116991,3.1255411,3.384168281,3.038264621,3.108551888,2.941087034,3.384237348,3.601680946,3.533055961,3.618891991,3.381911489,3.189372125,3.566263279,2.989305344,3.023959338,3.061136267,2.902399704,3.061952813,2.977355686,3.041786642,3.123198637,3.023280551,2.957291929,3.102846214,2.793018335
44076,ILMN_3117134,2.302900171,2.393308579,2.296474474,2.201905806,2.282217979,2.338934391,2.308205451,2.26602927,2.224930443,2.202341195,2.155066898,2.115918166,2.923052166,2.834254673,2.799908932,2.83831921,2.670283979,2.867887801,2.682684122,2.808522209,2.821480838,2.686828778,2.585201077,2.68538192
44077,ILMN_3117180,3.50082052,3.354661137,3.213489746,3.289191358,3.249985545,3.191905535,3.904920747,3.734525058,3.57948158,3.615482505,3.714169706,3.699640136,2.838396719,3.086036446,2.778653117,3.004787033,3.007612645,2.816898795,2.990339407,2.99430203,2.822833468,2.649313273,2.743881768,2.919836824
44079,ILMN_3117381,2.766117034,2.711275505,2.763390734,2.880230236,2.875432105,2.817529409,2.53581168,2.205603499,2.081996926,2.200621499,2.421003506,2.253194848,2.237061151,2.38243939,2.408630327,2.331084145,2.415367949,2.471752275,2.539543681,2.466937906,2.415796916,2.511739801,2.466060264,2.398226319
44085,ILMN_3117714,2.148633501,2.189670933,2.097931141,2.411758358,2.363795706,2.248893766,2.96477236,3.014829182,2.824429097,2.988029194,2.884960961,2.952460185,2.67636332,2.804888992,2.767148319,2.84715446,2.846098478,2.68442927,3.077780506,2.843392519,2.971075007,2.94625338,3.115468877,2.983711701
44088,ILMN_3117876,6.545887826,6.825936376,6.265415081,6.588007313,6.638960989,6.565252161,5.35657971,5.352296327,4.776622922,5.198977615,5.220133936,5.123764595,5.145958583,5.21129058,4.884423633,5.376772571,5.087887418,5.160027724,3.843232859,3.816972066,3.958168967,3.874154294,4.007721279,3.865388588
44091,ILMN_3118169,4.343171037,4.333116413,4.29046916,4.304529054,4.254739876,4.351558979,3.91012889,3.686104573,3.727252715,3.855124376,3.539172874,3.816474364,4.783149404,5.037614194,4.736433995,4.719781921,4.847345578,4.74555631,4.570455572,4.775922663,4.589955183,4.405199987,4.617833617,4.589021077
44092,ILMN_3118216,1.757449865,1.713916768,1.952413861,1.417881542,1.733443151,1.642602246,2.130285981,1.989192692,1.836112957,1.869866214,1.627944449,1.931467284,2.09748243,1.799309625,2.001542502,1.805774114,2.011844548,1.823769212,1.984582842,1.897390232,1.953035787,1.875882581,1.963480537,1.984496544
44104,ILMN_3119478,1.94408139,1.906301371,1.969764434,1.860376378,1.973953985,1.729388726,2.129291465,2.245739031,2.015647723,2.201210201,2.158904587,2.195103037,2.166221159,2.114953865,2.143383998,2.283690359,2.198666718,2.298381376,2.260912834,2.3037518,2.202887737,2.355194868,2.273315646,2.292205099
44106,ILMN_3119914,3.567850836,3.611548072,3.62677377,3.795049434,3.434656193,3.571404405,2.477198958,2.249822822,2.138832875,2.215332479,2.131880956,2.200400522,2.723885752,2.937181578,2.766768829,2.689565017,3.012461381,2.924273481,2.556034006,2.762025441,2.648357647,2.796376359,2.861073389,2.525090135
44108,ILMN_3119954,4.219288445,4.024678184,4.006281582,4.138873371,4.055827457,4.125496367,4.474846594,4.361481185,4.159401669,4.536974056,4.408002337,4.12888225,4.635738935,4.95899524,4.76735158,4.919625249,4.773590278,4.674970223,4.803384137,4.920323423,4.927702483,4.82237514,4.816647039,4.438817288
44111,ILMN_3120194,2.781367542,2.716063887,2.710636055,2.664385646,2.815992774,2.724171579,2.242795035,2.216335195,2.181982655,2.481718443,2.364289014,2.253286308,2.876184118,2.841703716,2.566521102,3.143531804,2.955914583,2.585972303,3.000906446,3.180430343,3.06582532,3.01343138,3.037997614,3.086678675
44115,ILMN_3120510,4.27029033,4.124176219,4.271680932,3.720895283,3.969912807,4.106797902,5.697388991,5.406242692,5.439279982,5.286192021,5.283070824,5.504535325,5.674206116,5.718099355,5.566008882,5.978967782,5.735144094,5.488599078,4.503409761,4.721227779,4.851710896,4.501131772,4.709050365,4.703818844
44116,ILMN_3120532,1.838860716,1.810309798,1.92971718,1.605278594,1.739473647,1.805547158,1.675172436,1.747910709,1.798033668,1.834773851,1.893135265,1.910198738,2.115649978,2.245174875,2.154629173,2.127125437,2.160060724,2.164256115,2.122138802,2.12658648,2.146437744,2.277718293,2.275999395,2.342076727
44120,ILMN_3120827,4.61947813,4.86785205,4.636415532,4.93848209,4.926555065,4.808859857,3.843294553,3.591256009,3.50730823,3.83697195,3.705975846,3.747477331,4.346472306,4.505213775,4.255179682,4.526812798,4.445453239,4.256808636,4.552545728,4.546552389,4.528777378,4.633324804,4.466857315,4.37184213
44121,ILMN_3121255,2.997754991,3.109770553,3.093666551,3.22005318,3.103111237,3.091743491,2.156015489,2.144239513,2.178990482,2.275218994,2.1042626,2.170588607,3.593775525,3.577012363,3.410658885,3.718748102,3.563476522,3.429883862,3.725645462,3.769867906,3.730353589,3.618730789,3.893507392,3.443662178
44123,ILMN_3121522,2.847038665,2.591860026,2.524604094,2.483840225,2.717141907,2.665842825,3.152450741,2.862313444,3.11294329,3.130321436,3.117318923,3.044166564,2.618205565,2.903958032,2.568237943,3.008854739,2.78574247,2.518410074,2.438279027,2.529467949,2.406765724,2.514912793,2.540874399,2.298206566
44125,ILMN_3121578,2.333195782,2.442763166,2.285980522,2.541494489,2.408496254,2.214811996,2.070348642,2.087026038,1.873845829,2.190946287,2.248335515,2.341350253,2.045909843,2.086990509,2.071376228,2.289186497,2.018540306,2.096616143,2.123568135,2.055933463,1.919894225,2.181226245,2.10442977,2.044720032
44128,ILMN_3121765,2.811900362,2.665203059,2.692105293,2.810474301,2.674754465,2.750501556,3.159238254,3.197458773,3.057957691,3.2385989,2.992680019,3.269690972,2.266423365,2.339163619,2.14210811,2.441462984,2.257018284,2.255498955,2.172460859,2.143628394,2.257531943,2.30719491,2.322359776,2.285140277
44131,ILMN_3121891,8.177177933,8.183435592,8.474922823,8.343434657,7.919139086,8.295325852,9.197399302,8.95048438,9.126203985,8.859037587,8.647137307,9.038900951,7.351738201,7.569383146,7.358086463,7.202981092,7.518631719,7.482747906,7.338535937,7.519862031,7.447877585,7.026413243,7.266488019,7.371366742
