,RANKL_0h_1,RANKL_0h_2,RANKL_0h_3,RANKL_0h_4,RANKL_0h_5,RANKL_0h_6,RANKL_24h_1,RANKL_24h_2,RANKL_24h_3,RANKL_24h_4,RANKL_24h_5,RANKL_24h_6,RANKL_48h_1,RANKL_48h_2,RANKL_48h_3,RANKL_48h_4,RANKL_48h_5,RANKL_48h_6,RANKL_72h_1,RANKL_72h_2,RANKL_72h_3,RANKL_72h_4,RANKL_72h_5,RANKL_72h_6
15125,1.791683793,1.653460773,1.704311835,1.587010492,1.707486849,1.622309496,3.651299749,3.476990451,3.297849509,3.449553555,3.574009449,3.551411613,4.316052635,4.537107316,4.30924751,4.265997277,4.236853792,4.284725147,3.049763646,3.027575448,3.043884798,2.648651468,2.934491001,2.806626121
15139,1.869562798,1.695170271,1.815905477,1.93449256,1.921537492,1.871144484,3.086114014,2.89183415,3.056092323,2.955651039,2.912983285,2.992086248,3.907981897,4.109484674,3.837892895,3.953491298,3.921145523,3.963298499,4.191512435,4.342094929,4.348481863,4.215109735,4.331205529,4.233254996
16743,2.099863996,2.090406864,2.100307814,2.236855637,2.246202636,2.183821547,5.612129896,5.491271595,5.422508406,5.823389478,5.689292441,5.541960592,5.304032074,5.227225433,5.188156114,5.586924793,5.174935973,5.079210062,4.086623721,4.138411176,4.244090455,4.194680928,3.970648723,4.234811848
24243,2.82819876,2.855202732,2.660496304,2.768788973,2.695385726,2.924691756,4.618388597,4.525683358,4.430825613,4.351748482,4.26514785,4.53357839,6.603703508,6.963278628,6.644523252,6.495432398,6.759051161,6.654282913,6.54342605,6.745042533,6.409695806,6.414927432,6.593068044,6.524510061
29914,5.51788323,5.485641406,5.44813385,5.660216389,5.496490045,5.659545593,6.713579868,6.506188123,6.440062991,6.960430501,6.676683118,6.751758171,2.479994981,2.616395837,2.441024504,2.383997828,2.717485881,2.469299026,2.638532028,2.575485612,2.603951329,2.748132029,2.642022761,2.687580863
30085,5.761733889,5.777041437,5.785055211,5.913120094,5.644244704,5.800155393,3.188267452,3.191505116,3.061997555,3.101409977,2.957001561,3.001015725,2.10717619,1.949475515,2.051302456,2.010336766,2.310095372,2.178396513,2.15357267,2.199939585,1.990106722,2.010656978,2.088438838,2.199524962
31701,2.684134381,2.782929848,2.782004358,2.689671927,2.563319236,3.025234144,4.35667063,4.160782472,4.243614776,4.261181985,4.088603419,4.314532616,5.944993445,6.130627782,5.796169383,5.907819165,6.202841128,6.138964297,6.315940933,6.090905249,6.224075365,6.210211843,6.368505597,6.496662068
32337,1.89580471,1.988113699,1.919724561,2.014497311,1.72412981,2.050532103,2.957547581,2.80869002,2.824602644,2.964689823,2.813316329,2.902141577,5.36148285,5.414720093,5.271047032,5.277689211,5.305595178,5.166197681,5.017523054,5.128791733,5.095517263,4.953814288,5.187266084,4.995047645
32852,4.220460122,4.183731595,4.04961611,4.304504709,4.156257133,4.145257254,4.264668334,4.217325501,4.105148269,4.152376399,3.9277043,4.013102753,2.135135078,1.895283312,2.03746466,1.835873112,2.078375707,2.050216611,2.068755377,2.075917618,1.90031839,1.919648644,1.853658561,1.916121884
36577,1.645351169,1.625334278,1.651663373,1.539061044,1.692898359,1.605807764,1.973233524,1.967795273,1.999207291,2.069772357,2.014469448,2.083200008,5.798112613,5.750627861,5.737012345,5.646289315,5.587107004,5.545626662,4.609208065,4.806601605,4.633566979,4.866524092,4.609290349,4.719532967
